cgpa,dsa_problems,aptitude_score,java_score,projects,communication_score,mock_interview_score,internships,label
5.8,20,40,42,0,45,38,0,NOT_READY
6.0,35,48,50,1,50,45,0,NOT_READY
6.3,45,52,48,0,54,50,0,NOT_READY
6.5,60,55,58,1,48,52,0,NOT_READY
6.7,55,50,60,1,58,48,0,NOT_READY
6.1,80,58,55,1,55,56,0,NOT_READY
6.8,70,62,62,1,60,58,0,MODERATELY_READY
7.0,100,65,68,1,62,60,0,MODERATELY_READY
7.2,130,70,72,2,65,66,0,MODERATELY_READY
7.5,150,72,75,2,68,70,1,MODERATELY_READY
7.7,180,74,78,2,70,72,0,MODERATELY_READY
7.3,200,68,73,3,66,68,1,MODERATELY_READY
7.8,220,76,80,2,72,75,1,MODERATELY_READY
8.0,250,78,82,3,74,78,1,MODERATELY_READY
8.1,280,80,84,3,76,80,1,PLACEMENT_READY
8.3,320,82,86,3,78,82,1,PLACEMENT_READY
8.5,350,85,88,4,80,85,1,PLACEMENT_READY
8.7,400,88,90,4,82,87,2,PLACEMENT_READY
9.0,450,90,92,5,85,90,2,PLACEMENT_READY
9.2,500,92,94,5,88,92,2,PLACEMENT_READY
8.4,300,84,85,4,83,84,2,PLACEMENT_READY
8.8,380,86,91,4,86,88,1,PLACEMENT_READY
7.9,290,82,83,3,80,81,2,PLACEMENT_READY
9.4,550,94,96,6,90,95,3,PLACEMENT_READY
